antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'กีฬา'}),frozenset({'รถยนต์'}),0.15,0.15,0.05,0.33333333333333337,2.2222222222222228,0.027500000000000004,1.2750000000000001
frozenset({'รถยนต์'}),frozenset({'กีฬา'}),0.15,0.15,0.05,0.33333333333333337,2.2222222222222228,0.027500000000000004,1.2750000000000001
frozenset({'ชอบผู้หญิง'}),frozenset({'ถ่ายภาพ'}),0.05,0.03333333333333333,0.03333333333333333,0.6666666666666666,20.0,0.03166666666666667,2.9
frozenset({'ถ่ายภาพ'}),frozenset({'ชอบผู้หญิง'}),0.03333333333333333,0.05,0.03333333333333333,1.0,20.0,0.03166666666666667,inf
frozenset({'ดนตรี'}),frozenset({'รถยนต์'}),0.13333333333333333,0.15,0.03333333333333333,0.25,1.6666666666666667,0.013333333333333332,1.1333333333333333
frozenset({'รถยนต์'}),frozenset({'ดนตรี'}),0.15,0.13333333333333333,0.03333333333333333,0.22222222222222224,1.6666666666666667,0.013333333333333332,1.1142857142857143
frozenset({'ดนตรี'}),frozenset({'เทคโนโลยี'}),0.13333333333333333,0.15,0.03333333333333333,0.25,1.6666666666666667,0.013333333333333332,1.1333333333333333
frozenset({'เทคโนโลยี'}),frozenset({'ดนตรี'}),0.15,0.13333333333333333,0.03333333333333333,0.22222222222222224,1.6666666666666667,0.013333333333333332,1.1142857142857143
frozenset({'เลี้ยงสัตว์'}),frozenset({'ดนตรี'}),0.16666666666666666,0.13333333333333333,0.03333333333333333,0.2,1.5,0.011111111111111113,1.0833333333333333
frozenset({'ดนตรี'}),frozenset({'เลี้ยงสัตว์'}),0.13333333333333333,0.16666666666666666,0.03333333333333333,0.25,1.5,0.011111111111111113,1.1111111111111112
frozenset({'เทคโนโลยี'}),frozenset({'รถยนต์'}),0.15,0.15,0.03333333333333333,0.22222222222222224,1.4814814814814816,0.010833333333333334,1.0928571428571427
frozenset({'รถยนต์'}),frozenset({'เทคโนโลยี'}),0.15,0.15,0.03333333333333333,0.22222222222222224,1.4814814814814816,0.010833333333333334,1.0928571428571427
frozenset({'เลี้ยงสัตว์'}),frozenset({'กีฬา'}),0.16666666666666666,0.15,0.03333333333333333,0.2,1.3333333333333335,0.008333333333333335,1.0625
frozenset({'กีฬา'}),frozenset({'เลี้ยงสัตว์'}),0.15,0.16666666666666666,0.03333333333333333,0.22222222222222224,1.3333333333333335,0.008333333333333335,1.0714285714285714
